20 100
11 14 4810
15 19 2097
14 14 9431
3 9 4340
5 12 9446
1 12 207
10 14 839
7 8 5383
6 7 2457
16 17 792
7 8 7454
6 18 4606
2 19 1388
1 8 2420
10 20 4532
9 20 208
9 14 4966
1 11 8027
2 6 1139
1 6 9187
8 9 2602
3 7 5156
8 12 4592
9 15 8507
18 20 8333
7 9 8258
9 15 4860
5 19 5143
6 15 7969
12 18 8314
16 20 2630
1 2 5728
11 14 9703
1 8 3986
8 18 2916
14 16 5939
5 11 3262
3 20 5722
11 18 8703
7 15 4661
3 11 4387
9 11 5335
2 20 2110
2 19 6099
7 19 9723
13 13 7512
3 5 9673
3 12 1171
3 14 34
1 20 7400
3 10 2456
11 19 7803
9 10 8596
9 13 9425
6 16 8798
5 9 5047
13 20 6430
5 19 7806
2 7 4317
2 7 3933
17 17 4967
2 15 48
3 17 4906
14 16 9240
2 13 7038
6 11 1214
1 6 7706
5 14 9777
6 9 3147
8 18 6520
4 6 4554
5 16 1638
2 16 3104
6 16 1062
4 8 1611
18 19 4474
1 19 7161
12 16 9344
1 16 2195
2 19 5747
4 15 7399
4 20 9608
7 15 176
14 20 7698
4 16 1600
2 19 677
2 8 9978
2 18 5933
1 13 6345
5 14 5534
9 17 7430
12 13 7000
11 20 4291
11 13 4210
7 8 5995
6 10 6685
11 14 7492
11 16 6123
3 16 2355
1 16 9332
