15 100
8 1 9367
7 4 6605
1 10 9853
12 10 2296
10 5 8313
3 5 750
11 11 3778
7 13 1345
4 10 8914
6 7 8348
3 14 8636
2 5 667
12 6 6992
11 3 3033
15 12 5838
12 14 9093
13 10 5804
4 2 4158
6 6 656
5 11 4744
2 13 3566
15 15 6590
1 11 142
11 7 1548
1 6 9054
10 3 8171
8 1 4526
2 4 5365
8 10 8738
9 14 5814
1 1 4349
7 15 3710
2 1 500
2 12 4574
4 12 8226
3 6 9768
15 14 9949
7 1 2548
15 9 8908
13 3 7944
7 4 8003
13 10 7719
4 11 7761
5 12 5118
11 1 2824
9 3 6717
8 3 5888
8 9 6140
12 9 1632
11 6 3019
7 12 5044
4 10 1273
1 14 8295
13 3 6252
5 13 6690
10 7 8664
5 15 345
13 7 6257
8 4 1764
10 14 5604
15 6 3590
7 10 71
9 11 8756
7 8 144
1 12 8809
11 7 2978
9 11 2417
9 9 7075
4 1 9499
7 10 8598
15 10 2315
5 1 8653
5 10 5331
4 1 109
4 1 8103
2 12 2140
6 5 8934
10 14 4372
6 3 4595
5 9 1234
3 8 7308
6 13 7860
4 3 4164
12 6 4515
12 9 5163
10 11 2798
13 2 6085
11 11 5366
3 1 6900
10 6 2448
11 8 7614
7 14 5988
4 3 7642
10 15 1328
2 11 7192
10 6 4041
14 3 4854
8 14 2046
1 1 2691
12 10 6288
