10 200
5 10 3
3 10 5
2 5 1
4 10 1
3 8 1
3 8 1
2 10 1
4 6 1
4 6 1
2 5 3
3 5 1
4 10 1
5 10 1
1 7 2
4 6 1
4 10 1
2 10 1
5 10 3
3 6 1
3 10 1
3 5 1
1 10 2
3 10 4
1 10 1
2 9 1
2 7 1
4 10 2
4 10 1
5 6 1
2 7 1
5 6 1
3 6 1
5 10 1
1 9 3
5 7 2
5 9 1
3 4 1
5 10 1
4 10 1
4 10 1
2 8 1
1 3 1
4 6 1
2 5 4
4 7 1
5 8 1
3 10 1
4 10 3
4 6 2
4 10 1
2 4 3
5 8 1
4 5 1
1 5 1
3 4 5
4 10 4
3 8 3
1 3 1
4 10 1
4 10 1
3 10 1
5 10 1
3 8 3
1 7 2
1 10 3
2 10 3
5 7 1
1 5 1
4 10 1
3 10 1
1 2 3
5 10 4
5 9 1
5 10 4
2 8 3
4 10 1
1 10 1
5 10 4
5 10 4
4 5 1
2 5 2
4 6 4
5 10 2
3 10 1
4 5 3
5 10 2
5 10 4
5 10 2
2 6 1
5 7 1
5 9 3
1 2 2
1 10 1
3 8 1
2 4 1
4 5 1
1 10 5
2 10 1
3 5 4
1 2 1
5 10 1
5 10 1
1 2 1
1 7 2
1 10 1
5 10 2
3 10 5
4 5 1
3 8 4
4 10 4
1 7 3
4 10 1
3 9 2
1 9 1
2 10 3
4 10 2
1 3 1
2 10 1
2 7 3
3 6 1
5 8 2
5 6 1
1 7 4
2 10 3
5 6 1
2 9 1
2 9 1
5 10 1
4 7 2
5 10 2
4 10 1
1 9 1
5 10 4
3 4 1
3 10 1
3 5 1
1 6 4
5 10 3
3 5 3
4 5 5
1 9 1
4 10 1
2 10 1
4 7 1
3 10 2
3 7 1
1 6 1
2 6 4
3 10 1
5 10 1
1 7 1
1 4 2
5 10 1
2 5 2
5 10 1
2 5 5
5 9 1
5 10 4
2 4 1
5 6 3
4 7 1
5 10 4
1 4 1
1 8 1
1 7 1
1 10 1
2 10 3
1 8 1
1 2 4
1 2 5
3 10 4
3 9 1
4 10 3
3 10 1
4 10 3
3 4 1
3 8 1
5 10 1
1 8 1
2 9 1
3 4 2
1 7 1
5 7 1
1 9 2
5 9 5
2 10 1
4 8 1
4 7 5
3 7 1
2 8 1
5 7 1
2 4 3
2 3 2
5 7 1
2 3 2
4 9 3
5 7 4
4 10 1
5 10 1
5 10 1
