25 400
7 9 687609
9 18 887081
8 17 413462
1 5 960664
19 21 1531689
15 23 875161
10 20 1790862
9 10 667264
14 20 164009
19 25 801667
20 25 1039367
7 11 729699
16 24 452572
20 25 1074297
10 17 1375788
5 10 797948
14 23 621814
12 15 657210
19 25 1821114
20 25 1101195
8 18 991781
19 22 1776585
6 7 1268669
10 11 799486
1 6 140728
15 23 963799
3 8 707674
9 19 1263169
16 25 1197960
14 23 1005100
5 8 810768
15 17 1302574
13 18 1367598
5 15 1419301
13 23 418347
15 23 1896425
4 13 728696
11 14 706021
4 5 495664
16 24 261633
6 16 805596
14 21 1166919
7 10 75301
1 7 1983313
15 17 1965253
19 25 1396908
18 19 1076225
6 13 1625017
13 21 1700494
18 24 1123769
20 25 996036
8 14 309076
20 25 839473
1 10 1855896
1 8 157831
20 25 1886005
14 19 4216
5 13 1220138
1 5 796940
18 20 1932579
9 11 1632156
19 25 706437
2 8 457998
11 17 254434
9 15 1515046
11 17 658180
10 12 1580263
10 15 1009988
2 7 1653376
10 14 6090
9 17 329763
6 14 1429991
13 22 473692
17 21 1536166
20 25 600726
15 19 1632625
2 10 28769
17 20 865383
8 12 1767485
4 12 435566
4 7 1993395
7 13 1437007
2 4 1075479
6 16 1748282
2 12 1311312
8 15 1922399
4 12 1467549
4 10 1950976
13 23 592819
11 12 190017
15 18 675149
15 22 1680369
9 16 1912114
20 25 1828382
18 19 1683606
11 16 992831
10 16 414236
5 13 1528085
4 9 1344364
10 20 1516448
12 19 50427
19 23 1276064
16 25 623349
15 24 565974
13 20 640105
10 12 1446467
20 25 617685
4 13 182527
19 20 1006376
13 19 856716
8 10 169112
8 9 936958
1 9 597261
7 12 225498
13 15 1569952
19 25 1941933
14 20 1263839
20 25 1003220
2 9 1111051
12 15 180151
20 25 400537
2 12 447357
11 12 979
17 21 973517
20 25 1193352
15 25 344089
15 21 1418558
7 13 830996
18 25 109486
9 11 598392
10 12 1814162
14 17 1807222
19 25 1853636
19 25 576752
9 16 542543
1 5 391114
4 5 1568933
18 23 693682
7 10 1947890
8 15 337931
14 16 720521
12 21 1264771
10 19 907638
8 16 246381
14 16 1506500
20 22 257946
3 7 442651
19 21 1324454
6 12 1906574
6 15 1300063
9 15 1685071
16 17 1462134
9 15 1078608
18 25 535472
20 25 806243
15 21 1084272
18 25 1713648
2 9 112929
16 25 1113109
15 17 823675
8 14 1843016
5 9 1985295
19 25 1057733
10 17 913965
15 22 130743
3 7 1250609
14 17 664677
11 15 1941880
12 14 1775899
4 13 114624
12 14 1295985
10 14 40503
10 14 1612949
1 9 920960
10 16 210917
11 18 989319
4 8 1514112
10 20 227947
10 16 455277
7 14 102675
9 12 470205
2 10 1242938
2 4 1883006
18 21 1469017
7 14 536443
9 12 1891526
19 23 618536
14 23 431121
17 21 1442209
1 8 764909
2 3 1222895
7 9 659183
19 22 1059069
18 19 1480283
13 18 836792
18 25 1259338
17 25 1998528
3 9 1719041
8 12 362756
2 6 1705571
10 15 1862109
2 10 128356
9 17 544814
19 25 724431
14 17 1588168
2 4 1346942
15 25 990069
15 17 31663
12 18 699669
16 22 1449364
13 14 383423
11 13 1972050
13 19 1458183
18 23 724828
5 7 1241001
1 4 1543145
15 25 1522785
5 13 1798456
5 8 801278
12 13 1973460
7 14 79910
10 13 343523
10 19 1423482
5 13 378854
12 22 689923
4 5 1193479
20 25 1148861
15 25 554596
13 15 1129724
1 9 1237002
1 2 581999
2 8 1026824
5 6 699833
19 22 145838
3 11 89271
10 20 118298
2 12 1579862
13 20 1464030
19 23 1802465
10 14 1294836
3 7 1390504
8 12 472894
19 25 514054
6 12 972167
7 14 572061
8 10 554736
9 12 463337
5 14 1820649
20 25 425127
18 21 1078048
11 15 1752872
4 12 529509
9 16 1751481
14 23 842270
4 7 180728
10 16 456778
15 16 863899
20 23 550951
18 21 72530
2 3 558358
13 19 1245439
11 19 715771
16 18 1996177
14 23 1786491
2 3 232550
4 10 1423625
8 11 1478013
17 20 1975577
2 4 380346
3 6 494784
9 18 1613727
1 5 1127679
8 10 1509534
8 16 1273345
6 15 1391278
9 10 435394
