200 100
1 4 17085
4 28 189225
28 16 63288
4 2 759330
16 62 414178
2 36 329440
4 95 583020
1 69 197298
36 80 826454
80 27 113169
80 68 46128
36 96 314100
96 3 144330
62 85 606276
85 32 533664
28 24 228683
3 23 41938
36 41 235512
2 81 186348
80 77 673456
16 94 53760
28 47 116987
80 56 23358
3 15 226238
62 63 641900
41 54 67104
77 92 18080
80 37 18210
77 30 63600
2 93 528
27 7 30618
69 66 164679
81 60 204435
23 59 113924
85 61 667234
16 12 314560
94 73 60540
92 43 64864
95 42 78672
56 39 7450
54 31 383474
96 8 378144
60 21 132550
77 45 501228
32 34 18296
39 83 699100
77 74 428168
31 78 577348
77 44 360308
85 72 219516
80 25 242208
68 38 397244
44 84 338688
96 76 94952
27 64 450300
32 51 121770
95 79 66774
64 82 425295
84 90 43204
81 65 154175
74 40 21280
72 26 36400
76 18 31994
73 46 138437
84 98 10650
92 70 210120
54 11 142410
28 10 109740
66 14 336050
93 35 283272
66 48 143118
48 58 670842
59 75 57928
3 89 23560
28 53 150960
36 71 412850
32 97 267540
76 33 142679
76 5 124960
89 20 801073
44 55 322368
93 22 167139
55 57 267267
33 17 16659
51 87 67580
81 13 345840
40 9 368874
53 50 546845
46 52 290168
61 86 359904
92 29 158116
46 49 3084
76 19 250523
7 6 339957
77 88 255360
80 67 617056
81 91 198496
10 99 699152
62 100 50268
68 33 88892
83 70 523625
39 28 358620
49 80 247150
74 4 618017
97 42 489
16 83 183690
19 36 162648
95 29 8520
51 94 667554
73 63 19116
22 49 25715
89 37 40712
9 42 23484
38 79 1664
20 93 519360
39 92 478080
68 36 28536
33 21 468534
79 15 825968
86 80 193629
97 43 158484
10 43 449445
9 25 132940
79 98 2225
77 39 494856
90 57 7872
92 86 57204
1 41 32648
32 95 48815
4 13 14525
33 99 151704
6 89 170148
74 64 109214
21 93 97524
82 89 117819
68 95 218337
36 67 511648
95 93 284171
89 98 17072
7 72 206205
10 84 67746
2 15 418095
25 66 510300
31 82 75900
84 40 505300
66 51 135366
31 23 901048
74 20 41076
85 91 444726
13 74 309582
48 73 198288
33 8 476470
7 13 447492
96 22 644787
61 87 413376
5 73 154440
56 90 46995
40 88 279105
32 83 233232
23 44 255424
85 100 490842
73 7 57022
39 21 334356
96 34 56800
32 4 733125
70 41 759782
13 85 36925
49 28 120888
54 32 256200
85 71 599874
75 72 745752
53 73 432174
73 70 257890
92 81 444988
76 81 22609
67 62 789351
4 52 32844
24 46 195975
34 100 83454
77 25 260160
95 42 636572
2 22 341784
65 92 499310
33 15 580903
73 23 107787
83 30 280178
32 84 382230
79 93 160881
68 87 630240
93 45 215514
72 53 597958
6 20 88416
59 20 620682
63 85 166897
40 16 102355
70 42 481932
10 90 91377
68 95 446896
44 14 51465
48 77 101680
