183 15
1 2 31
1 3 46
1 4 26
1 5 29
1 6 62
1 7 25
1 8 38
1 9 7
1 10 39
1 11 31
1 12 86
1 13 92
1 14 50
1 15 9
2 3 43
2 4 88
2 5 30
2 6 14
2 7 44
2 8 87
2 9 68
2 10 65
2 11 16
2 12 68
2 13 65
2 14 42
2 15 2
3 2 18
3 4 56
3 5 49
3 6 28
3 7 4
3 8 44
3 9 82
3 10 76
3 11 70
3 12 67
3 13 93
3 14 19
3 15 76
4 2 51
4 3 5
4 5 84
4 6 47
4 7 63
4 8 72
4 9 91
4 10 65
4 11 14
4 12 28
4 13 44
4 14 66
4 15 36
5 2 27
5 3 11
5 4 70
5 6 74
5 7 18
5 8 82
5 9 14
5 10 25
5 11 52
5 12 29
5 13 5
5 14 63
5 15 64
6 2 60
6 3 75
6 4 65
6 5 43
6 7 5
6 8 49
6 9 7
6 10 6
6 11 6
6 12 9
6 13 29
6 14 11
6 15 56
7 2 62
7 3 28
7 4 26
7 5 66
7 6 100
7 8 97
7 9 58
7 10 2
7 11 61
7 12 63
7 13 7
7 14 63
7 15 66
8 2 32
8 3 11
8 4 43
8 5 63
8 6 2
8 7 54
8 9 68
8 10 30
8 11 64
8 12 23
8 13 28
8 14 87
8 15 27
9 2 66
9 3 92
9 4 54
9 5 99
9 6 36
9 7 55
9 8 17
9 10 72
9 11 88
9 12 77
9 13 33
9 14 24
9 15 4
10 2 71
10 3 33
10 4 94
10 5 12
10 6 9
10 7 59
10 8 41
10 9 82
10 11 89
10 12 98
10 13 53
10 14 50
10 15 42
11 2 38
11 3 100
11 4 74
11 5 19
11 6 14
11 7 8
11 8 58
11 9 35
11 10 77
11 12 52
11 13 46
11 14 10
11 15 35
12 2 27
12 3 35
12 4 94
12 5 27
12 6 16
12 7 99
12 8 1
12 9 45
12 10 2
12 11 77
12 13 40
12 14 95
12 15 47
13 2 10
13 3 90
13 4 99
13 5 84
13 6 95
13 7 78
13 8 17
13 9 35
13 10 26
13 11 16
13 12 24
13 14 28
13 15 96
14 2 80
14 3 87
14 4 98
14 5 32
14 6 46
14 7 88
14 8 52
14 9 29
14 10 91
14 11 55
14 12 99
14 13 70
14 15 81
