150 50
1 20 10359
1 11 884156
11 4 382580
20 30 643764
4 35 108262
4 31 5964
30 45 39000
20 28 68490
45 34 210801
31 10 308295
20 6 138736
20 42 746938
34 16 852078
31 38 277748
6 46 18696
30 40 417582
34 7 88038
28 44 694544
11 29 317312
11 13 555839
6 17 1880
31 39 59624
42 41 79240
6 33 207975
20 18 262560
42 14 247718
16 36 121806
41 23 109872
33 48 124786
39 2 117008
20 49 382176
44 47 726
39 9 137648
23 21 277875
9 15 309902
30 8 54600
33 12 201208
33 32 907308
36 24 261030
46 27 117396
18 22 818460
38 19 567361
32 5 483645
1 26 319310
18 3 143376
33 25 335692
40 37 188258
31 43 483140
28 50 111967
35 48 372193
49 43 491200
5 31 248692
11 9 517439
5 25 13200
11 10 7429
13 43 475146
47 48 311865
18 29 203008
33 22 126540
35 38 110307
8 22 745056
28 42 575900
16 50 292864
32 17 476779
34 29 390260
42 16 347761
14 34 347529
49 21 238952
15 12 9882
39 20 577920
11 27 87432
42 29 389325
43 45 47878
40 30 74333
34 39 409684
37 1 708825
49 34 79216
23 23 120915
27 30 239169
7 18 13244
7 6 599664
45 23 34224
15 5 300748
36 33 494384
9 3 37356
13 43 184200
24 6 665000
42 7 60998
32 30 77787
43 31 5742
2 9 340830
40 6 34920
12 41 338588
43 10 387180
34 11 359251
17 48 498232
5 42 540925
20 24 148716
17 34 546150
42 41 410800
9 28 485475
3 33 225524
19 8 226634
47 30 163296
35 27 406686
13 4 271467
9 22 341388
36 41 379776
24 50 848350
30 6 386379
17 16 352521
7 23 568980
12 26 5124
13 4 151525
6 23 589620
19 43 55296
7 3 182932
15 4 104720
40 15 496027
15 30 25508
49 38 87330
10 42 377169
8 45 331850
37 16 359940
37 41 36768
2 36 400476
32 41 803964
47 35 149169
39 20 14520
47 19 26130
45 1 19840
42 13 225368
18 24 141696
31 44 140760
8 38 599196
28 9 237846
47 36 301325
21 18 27546
23 17 208110
34 17 263718
31 20 372164
49 2 498168
11 7 323912
34 2 102256
20 10 207165
25 3 71649
23 21 156112
16 48 840
33 8 101052
4 18 39879
