199 200
1 77 604884
1 158 4482
77 160 333909
158 72 830172
160 64 111300
72 40 9396
77 10 65070
40 125 760487
77 20 223728
10 90 559854
160 82 23684
20 190 19951
40 89 230917
72 163 496531
163 81 273112
10 67 379392
82 79 355426
1 9 515788
64 55 338776
72 166 223710
79 189 42921
40 156 155709
64 104 431550
79 177 684777
67 129 55872
166 76 133734
81 186 503211
82 172 47040
76 145 37416
166 115 49680
129 137 551265
55 174 373672
67 7 208311
160 32 184600
1 194 5887
190 131 600576
174 86 45660
125 83 298622
115 3 208636
189 38 87165
64 134 13939
129 120 834561
9 114 873356
83 61 241411
125 21 9451
32 121 582826
114 42 41010
1 122 70522
10 193 102916
137 182 150228
64 123 422576
86 78 13800
89 58 32263
114 52 275138
182 144 304083
58 43 442677
166 93 839289
43 98 162000
61 154 95448
43 181 3796
189 16 315746
125 80 191333
89 139 326648
129 60 235800
61 45 127610
172 180 193669
156 70 131008
104 185 304358
61 6 138124
79 34 653103
20 183 153560
158 48 125775
80 184 684530
166 41 150800
48 5 504546
145 35 55991
21 8 44550
160 178 88008
83 192 197750
98 171 419856
61 74 498050
174 124 91800
77 109 142443
82 71 147887
98 36 14155
58 151 32431
9 69 458736
193 11 676788
124 31 228613
185 191 250010
185 14 374026
81 23 713800
8 91 46172
109 197 231114
98 73 726792
194 62 130084
129 138 4062
131 13 274850
69 15 24108
61 155 15925
192 111 558742
61 29 232392
158 118 210896
73 28 170820
111 135 229704
137 132 149916
194 126 270359
123 37 17604
138 168 265972
137 88 200238
132 2 146544
82 187 75690
172 27 575296
21 65 808704
82 63 154890
137 101 241569
14 102 180495
109 22 670140
191 44 129628
38 107 426420
28 39 114042
40 164 951500
180 153 641904
20 49 133951
49 173 238822
109 148 22480
98 50 567248
44 105 245900
93 133 129984
36 116 129008
178 54 30753
183 188 29890
194 167 453888
135 18 314336
144 108 351348
35 141 72864
10 66 106416
16 51 116171
125 157 53204
178 92 85519
16 53 260766
2 195 372122
92 19 434115
197 196 152163
69 30 179488
174 25 797568
7 103 168795
2 176 403032
49 17 304668
93 12 170819
3 198 511236
98 146 290598
31 179 788832
40 117 291067
38 100 407355
23 96 467181
183 46 442224
144 161 6756
13 136 13240
171 127 278240
30 47 92040
137 33 327921
132 95 228704
93 175 28580
14 113 289170
154 4 749112
62 152 827836
146 57 57376
19 87 15072
179 24 26052
126 143 135582
154 128 109368
66 75 261838
91 110 97314
103 68 16560
15 170 52828
170 84 19250
125 159 33300
129 199 481887
4 112 152482
14 130 216112
185 59 603099
127 162 384888
44 85 264600
137 99 160038
55 169 58720
36 147 141354
163 26 327262
5 142 185472
129 150 247764
105 106 25193
158 119 98928
130 94 360690
33 149 434420
31 165 571980
65 140 175080
163 56 901033
8 97 35
158 200 633027
